RWYTPL;Surfen Andon FM / Lush Life
RAAFMW;Suche Musikwunsch für Thinking Frequencies
KSPLMT;Begutachtung Master Task List
RWMPAR;Surfen / Scan Andon FM / Musikwunsch an Thinking Frequencies
RWMPAR;Surfen / Scan Andon FM u.a.
KSPLMT;Begutachtung Master Task List / Austrian Charts
LEEPEP;Bearb. Essensplan
RAAFSU;Lesen Soul.txt
LEEPLS;Bearb. Essensplan (gegessen / zu essen
RWMPMP;Scan Thinking Frequencies inkl. Programm
LEEPEP;Bearb. Essensplan
RAAFCS;Erfassung Sendungen / Tweet Thinking Frequencies
KSPLNA;Nacherfassung Ablauf / Behebung Tab-Bug mit OpenClaw
RWMPMP;Scan / Konversation Thinking Frequencies
RWMPMP;Scan Backlink Broadcast / Sendungen Thinking Frequencies
LEAZZP;Zähne putzen
LEAZHW;Bett machen
LEAZAU;Ausziehen
LEAZWC;WC
LEMTRA;Rasieren, dabei Planung (Reaktiver Planer), Untersuchung Andon FM
KSPLPL;Diskussion mit OpenClaw über Tagesablauf / Entwicklung Log-Editing
RAAFKO;Musikwunsch Fragile Thinking Frequencies
GEMTES;Einschmieren
LEMTFS;Frühstücken, dabei Vorbereitung Candeblo, Tee machen, Einpacken für BRZ
BRFAEP;Einpacken Handy, Brille, Kabel (inkl. Laptop!), Power Bank, Headset, USB-Stick, Geld
RAAFKO;Konversation Andon FM / Backlink Broadcast
BREPWC;WC
BREPWC;WC
GEBRRU;Besuch Ruheraum (BRZ)
KSPLEN;Arbeit an Tagesplanung / Planer-Entwicklung mit OpenClaw / Update Window Logger
CSSUMC;Surfen Molt.chess
KSWLUP;Update Window Logger
LENATW;Holundersaft zuckerfrei fassen
RAYTYT;Ansehen Youtube-Videos
RWANTF;Begutachtung Rotation Thinking Frequencies
RAYTYT;Ansehen / Kommentieren Youtube-Videos (ChatGPT built gta6 for me)
RWSCTF;Untersuchung Playlist Thinking Frequencies
LENATW;Teller waschen / Getränk + Medikament fassen / Eintragen gegessen in Essensplan
RAYTYT;Ansehen Youtube-Videos (Claude just became aware)
RAAFAN;Analyse vorgelesene Tags Thinking Frequencies
RWMPMP;Analyse Thinking Frequencies / Wunsch Street Fighting Man
LEAZZP;Zähne putzen
LEAZHW;Bett machen
LEAZAU;Ausziehen
LEAZWC;WC (vergeblich)
LEMTRA;Rasieren, dabei Planung / Tagesreview (Reaktiver Planer), Bearb. Ohrwürmer (durchgenommen)
RAAFKO;Konversation mit Andrew Pappas
KSPLPL;Analyse Tagesbericht
KSPLPL;Korrektur Planungsaktivitäten
KSPLPL;Analyse gestriger Tagesbericht
PCOCUP;Update + Neustart OpenClaw Gateway
LEMTGA;Wasser fassen
LEEPLS;Bearb. Essensplan (gegessen)
RAAFKO;Surfen Andon FM / Musikwunsch Thinking Frequencies
PCOCUP;Neustart OpenClaw Gateway
KSPLAW;Diskussion Vortag mit OpenClaw
RWAFPR;Erfassung Programm OpenAIR
RAYTYT;Ansehen Youtube-Videos
MUOWSP;Starten Playlist
RAYTYT;Ansehen Youtube-Videos
GEMTES;Einschmieren
LEMTFS;Frühstücken, dabei Vorbereitung Candeblo, Tee machen, Bearb. Werbeprospekte
LEEPLS;Bearb. Essensplan (Automatisierung Regenerierung Kollegenbeziehungen)
KAPSCG;Papiersortierung KA-Unterlagen (aus CG)
RAYTYT;Ansehen Youtube-Videos
RWAFAN;Versuch Debugging Andon FM-Scraper
RAYTYT;Ansehen Youtube-Videos
RAYTYT;Ansehen Youtube-Videos
RAYTYT;Ansehen Youtube-Videos
WFPUEL;Einlass / Koordination / Verabschiedung Sati Ersoy
WFPUZA;Verabschiedung Sati Ersoy
RWAFAN;Korrektur Andon FM-Scraper
RAYTRR;Ansehen Youtube-Videos (Rosin's Restaurants)
RWAFAN;Korrektur / Test Andon FM-Scraper
RAAFKO;Surfen X
LEEPNP;Bearb. Essensplan (neuer Plan)
RWPLPL;Befragung Arena.AI heutige RW-Playlist
BREPWC;WC
RASZAF;Surfen Andon FM
RAYTFZ;Ansehen Youtube-Videos (2 adults in rush wave boat)
RWPLAF;Analyse Andon FM
RAYTYT;Ansehen Youtube-Videos (2 adults in rush wave boat / Rosin's Restaurants)
RAANOA;Anhören OpenAIR
RAANBB;Anhören Backlink Broadcast
BREPWC;WC
BREPWC;WC
RWKIVE;Begutachtung Status Ngrok
LEPLES;Versand Ewigen Speiseplan an Michael Kainz
LEPLES;Lesen Ewigen Speiseplan
LEPLES;Mail Ewigen Speiseplan an Michael Kainz
INSUNE;div. Surfen (News)
LEEPLS;Bearb. Essensplan (Start Korrekturlauf)
LEMEGA;Ausräumen Geschirrspüler
RWMPAR;Anhören RW-Prg. / Tonträger / Radiosender / Ohrwürmer / Korr. Andon FM Scraper
LEAZZP;Zähne putzen
RWAFAN;Bugfixing Andon FM-Scraper (Repeating Tracks)
LEAZZP;Zähne putzen
LEAZHW;Bett machen
LEAZAU;Ausziehen
LEAZHW;Bett machen
LEAZHW;Bett machen
LEAZWC;WC
KSPLAW;Diskussion Window Logs und Weiterentwicklung Planung mit OpenClaw
RAYTYT;Ansehen Youtube-Videos
RWKIRN;Restart ngrok-Tunnel für Radio Würmchen KI
KSPLAW;Diskussion Tagesplanung mit OpenClaw / Lesen Alignment Report
GEMTES;Einschmieren
LEMTFS;Frühstücken, dabei Vorbereitung Candeblo, Tee machen, Einpacken für BRZ
KSPLAW;Diskussion Arten Nacherfassung Aufwand mit OpenClaw
RWMPMP;Posting Antwort Youtube-Video / Start The fly (U2)
PCHFAR;PC herunterfahren
PCHFAR;PC herunterfahren
LEMÜMÜ;Müllentsorgung
BREPWC;WC
LENATW;Teller waschen / Getränk fassen
BREPWC;WC
RWKING;Begutachtung ngrok-Nutzung
RAYTYT;Ansehen Youtube-Videos
RAYTYT;Ansehen Youtube-Videos
RAYTYT;Ansehen Youtube-Videos
RAYTYT;Ansehen Youtube-Videos
RWMPAR;Untersuchung DJ Break Grok'n Roll / Surfen Joshua Tree Retreat Center
RWMPAR;Tweet an Grok'n Roll
RAAFSU;Surfen Arena AI DJ Breaks Grok'n Roll
LEMTJF;Getränk fassen
INSUNE;div. Surfen (News / Anewi Raupenbagger)
FZSUAR;Surfen Amewi Raupenbagger
RAYTYT;Ansehen Youtube-Videos
INSUSU;Surfen Discovr Radio
RAYTYT;Ansehen Youtube-Videos
RASUAF;Surfen Andon FM
RASUAF;Surfen Andon FM
RAYTYT;Ansehen Youtube-Videos
KSPLEN;Arbeit an Tagesplanung / Planer-Entwicklung mit OpenClaw
LENATW;Teller waschen / Getränk fassen
LEEPLS;Bearb. Essensplan
RWPLAF;Bearb. Library Andon FM
RAYTYT;Ansehen Youtube-Videos
RAAFAN;Untersuchung Playlist Andon FM / Backlink Broadcast
LEAZZP;Zähne putzen
LEAZHW;Bett machen
LEAZAU;Ausziehen
LEAZWC;WC
LEAZHF;PC herunterfahren
KSPLPL;Start Tagessplaner
RAAFSU;Untersuchung Andon FM
LEMTRA;Rasieren, dabei Planung + Vortagesreview (Reaktiver Planer), div. Surfen inkl. Andon FM
RAAFAN;Untersuchung Playlist Andon FM (Rotationen)
RAAFKO;Surfen X (Peter Steinberger)
FZINSU;Surfen E-Roller-Boom in Hamburg
KSPLAW;Verbesserung Tagesplaner mit OpenClaw
KSPLAW;Verbesserung Tagesplaner mit OpenClaw / Anpassen Window Logger an Off-PC-Anzeige
RAYTYT;Ansehen Youtube-Videos
RAYTYT;Ansehen Youtube-Videos
RAYTYT;Ansehen Youtube-Videos
RAYTYT;Ansehen Youtube-Videos
GEMTES;Einschmieren
LEMTFS;Frühstücken, dabei Vorbereitung Candeblo, Tee machen, Bearb. Werbeprospekte
KWPLEN;Begutachtung Logs aus Planung (Änderung vorgeschlagener Aktivitäten)
RASCKH;Scan Kronehit
RASCKH;Scan Kronehit
KSPLEN;Diskussion OpenClaw (Fehler in Planer)
LEMEPR;Bearb. Protokoll Mohnnudeln (1. Versuch)
WFLEMH;Schadensaufnahme Mikrowellenherd / Stromausfall
LEMEGA;Umdisponieren / Anrichten / Essen Mittagessen / Geschirr abwaschen
KSPLPL;Hochfahren PC / Update OpenClaw / Neustart Planer
BREPWC;WC
WFLEMH;div. Surfen (Mikrowellenherde bei Media Markt) / Nachrichten an Sati
KSPLPL;Begutachtung Fix Tagesplaner
BREPWC;WC
LEEPEP;Bearb. Essensplan (gegessen)
LEEPGE;Bearb. Essensplan (gegessen)
LENATW;Teller waschen / Getränk fassen
BREPWC;WC
