tier;name;code;account_prefix;parent;list;priority;fixed_time;status;sources;source_count;variant_count;notes
1;Anruf Musikwunsch Plattenkiste;;RA;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Anruf von Papa;;PA;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Anrufen Putzfrau;;WF;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;2;
1;Ansehen / Kommentieren Youtube-Videos;RWMPMP;;;;0;;active;ablauf_planned, ablauf_unplanned;2;4;seen 2x across Ablauf files
1;Ansehen alte CS-Projekte;;CS;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Ansehen div. Youtube-Videos;;IN;;;0;;active;ablauf_unplanned, access_Tab_Aktionen, access_Tab_Aufwandserfassung;3;1;
1;Ansehen Fernsehsendungen;;RA;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Ansehen Jason Lux Livestream;;RA;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Ansehen Maps Moonwalker;;CS;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Ansehen Theaterstück Ronald;;VE;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Ansehen We are the world;;IN;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Ansehen Youtube;RWRSMR;RA;;;0;;active;ablauf_planned, ablauf_unplanned, access_Tab_Aufwandserfassung;3;2;
1;Ansehen YOutube-Videos;RWMPAR;IN;;;0;;active;ablauf_planned, ablauf_unplanned, access_Tab_Aktionen, access_Tab_Aufwandserfassung;4;520;seen 3x across Ablauf files
1;Ansehen Zeit im Bild 1;;RA;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Ansehen ZiB + Wetter;;RA;;;0;;active;ablauf_unplanned, access_Tab_Aufwandserfassung;2;0;unplanned, seen 1x across Ablauf files
1;Ansehen ZiB 1;;RA;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;1;
1;Ansehen ZiB 1 + Wetter;RATVZI;RA;;Liste_nachmittags;0;19:30;active;ablauf_planned, ablauf_unplanned, access_Tab_Aufwandserfassung, old_cs;4;2;seen 250x across Ablauf files
1;Ansehen ZiB 1 / 2;;RA;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Ansehen ZiB 1 u.a.;;RA;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;1;
1;Ansehen ZiB 1/2/Diskussionssendung;;RA;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Ansehen ZiB 2;;RA;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;1;
1;Anwendung der Zwischenraumzahnbürste;LEAZZZ;;;Liste_Abendzeremonie;0;;active;ablauf_planned, old_cs;2;1;seen 388x across Ablauf files
1;Anwendung Zahnseide;LEAZZS;;;Liste_Abendzeremonie;0;;active;ablauf_planned, old_cs;2;0;seen 385x across Ablauf files
1;Anziehen;LEMTAN;LE;;Liste_Morgentoilette;0;;active;ablauf_planned, ablauf_unplanned, access_Tab_Aufwandserfassung, old_cs;4;6;seen 377x across Ablauf files
1;Arbeitnehmerveranlagung für Papa;PAFIAV;;;Liste_nachmittags;0;;active;ablauf_planned, ablauf_unplanned, old_cs;3;10;seen 4x across Ablauf files
1;Arbeitszeit absolvieren;BREPDZ;;;;0;;active;ablauf_planned, ablauf_unplanned;2;15;
1;Arbeitszeit absolvieren (Nachmittag);BREPDZ;;;Liste_Arbeit;1.845;;active;csv, old_cs;2;0;
1;Arbeitszeit absolvieren (Vormittag);BREPDZ;;;Liste_Arbeit;1.845;;active;csv, old_cs, yaml_exceptions;3;0;
1;Asteroids;;CS;;;0;;active;ablauf_unplanned, access_Tab_Aufwandserfassung;2;2;
1;Aufbau Heimkaraoke;;KA;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Aufbau Livestream;;MU;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Aufbau Vatertagsfeier;;MU;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Aufhängen Badewäsche;GEGYAB;;;Liste_Schwimmbad;1.846;;active;ablauf_planned, csv, old_cs;3;0;seen 100x across Ablauf files
1;Aufnahme von Kontakt mit weiblichen Wesen;;PA;;;0;;retired;access_Tab_Wuensche, taskliste;2;0;wisher=Dr. Mayrhofer, status=wird überlegt
1;Aufnehmen Die neue Normalität;;MU;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Aufräumen;WFARAR;WF;;Liste_untertags;1.81;;active;ablauf_planned, access_Tab_Aktionen, access_Tab_Aufwandserfassung, access_Tab_Gewinnaktionen, csv, old_cs, taskliste;7;4;seen 249x across Ablauf files
1;Aufräumen / div. WF-Aktivitäten;;WF;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Aufräumen / Vorbereitung Ruf Putzfrau;;WF;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Aufräumen mit Papa;;WF;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Aufschreiben Heimkaraoke;;KA;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Aufsperren Papa;;PA;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Aufstehen, Rasierer fasssen;LEMTAU;;;Liste_Morgentoilette;1.841;;active;ablauf_planned, csv, old_cs;3;1;seen 300x across Ablauf files
1;Aufstellen 2 Scooter;;FZ;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Aufwandserfassung;KSAAKO;KS;;;0;;active;ablauf_planned, ablauf_unplanned, access_Tab_Aktionen, access_Tab_Aufwandserfassung, window_logger_vb5;5;3;
1;Aufwandserfassung / Abrechnung;;KS;;;0;;active;ablauf_unplanned, access_Tab_Aktionen, access_Tab_Aufwandserfassung;3;167;
1;Aufwandserfassung / Bearb. Wnidow Logger;;KS;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Aufwandserfassung und Abrechnung Kontensystem;KSAAKO;KS;;Liste_nachmittags;1.81;;active;ablauf_planned, access_Tab_Gewinnaktionen, csv, old_cs;4;14;seen 305x across Ablauf files
1;Aufwaschen Küche;;WF;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Ausfüllen Umfrage TIER;;FZ;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Auskundschaftung Bauten südlich Siemens-Gelände;;AU;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Auskundschaftung Kleingartenanlage Transit;;AU;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Ausmachen Arzttermine;GEMRNA;;;Liste_untertags;1.827;;active;ablauf_planned, csv, old_cs;3;9;seen 98x across Ablauf files
1;Ausmachen Termin Zahnarzt;;GE;;;0;;active;ablauf_unplanned, access_Tab_Aufwandserfassung;2;1;
1;Auspacken Einkauf;;LE;;;0;;active;ablauf_unplanned, access_Tab_Aufwandserfassung;2;0;unplanned, seen 1x across Ablauf files
1;Auspacken Essensplan;LEEPAU;;;Liste_mittags;1.84;;active;ablauf_planned, ablauf_unplanned, csv, old_cs;4;3;seen 91x across Ablauf files
1;Auspacken Küchengeräte;;WF;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Auspacken Teamgrillen;LEPOPO;MU;;;0;;active;ablauf_planned, access_Tab_Aufwandserfassung;2;0;seen 1x across Ablauf files
1;Ausputzen Rasierer;LEMTAR;;;Liste_Morgentoilette;1.846;;active;ablauf_planned, ablauf_unplanned, csv, old_cs;4;0;seen 380x across Ablauf files
1;AUsrasten;;GE;;;0;;active;ablauf_unplanned, access_Tab_Aufwandserfassung;2;6;unplanned, seen 1x across Ablauf files
1;Ausruhen;;GE;;;0;;active;ablauf_unplanned, access_Tab_Aufwandserfassung;2;0;unplanned, seen 10x across Ablauf files
1;Aussortieren Küchengeräte + Unterlagen Papa;;PA;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Aussortieren und Wegwerfen seit 17.5.2022 nicht verwendeter Kleidung;WFREER;;;Liste_nachmittags;0;;active;ablauf_planned, old_cs;2;4;seen 32x across Ablauf files
1;Aussuchen Musiktitel / Tonträger;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Aussuchen Radiosender;RWMPMP;;;;0;;active;ablauf_planned, ablauf_unplanned;2;5;seen 1x across Ablauf files
1;Auswertung Radioscans / Playlists;;RW;;;0;;active;ablauf_unplanned, access_Tab_Aktionen, access_Tab_Aufwandserfassung;3;0;unplanned, seen 1x across Ablauf files
1;Ausziehen;LEMTAZ;;;Liste_Morgentoilette;1.84;;active;ablauf_planned, ablauf_unplanned, csv, old_cs;4;1;seen 760x across Ablauf files
1;Autoririsierung Kreditkarte für 3D Secure-Zahlungen;;FZ;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. auswendige Radioplaylist;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. Badewanne mit Papa;;PA;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;2;
1;Bearb. Bewertung der Dokumentationen;;KS;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. Checklisten;;KS;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. Checklisten / Taskliste u.a.;;KS;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. Einkaufsliste;;LE;;;0;;active;ablauf_unplanned, access_Tab_Aufwandserfassung;2;0;unplanned, seen 5x across Ablauf files
1;Bearb. Essensdatenbank;;LE;;;0;;active;window_logger_vb5, windowlog_corrector;2;0;combo box item, account=LE
1;Bearb. Essensplan;LEEPVO;LE;;;0;;active;ablauf_planned, ablauf_unplanned, access_Tab_Aufwandserfassung;3;932;seen 14x across Ablauf files
1;Bearb. Essensplan (Einlesen Einkaufsliste) LEEEL;;;;Liste_nachmittags;1.826;;active;csv, old_cs;2;0;
1;Bearb. Essensplan (Eintragen Protokoll);LEEPEP;;;Liste_nachmittags;1.826;;active;csv, old_cs;2;0;
1;Bearb. Essensplan (Ereignisse / gegessen / zu essen);LEEPGE;;;Lebenserhaltung;1.844;14:30;active;csv, old_cs;2;0;
1;Bearb. Essensplan (gegessen / Lokalsuche / Konsumation / Einkaufsliste);LEEPLS;;;Lebenserhaltung;1.84;10:31;active;csv, old_cs;2;0;
1;Bearb. Essensplan (gegessen / Lokalsuche / Konsumation);LEEPLS;;;Lebenserhaltung;1.84;11:00;active;csv, old_cs;2;0;
1;Bearb. Essensplan (gegessen, zu essen);LEEPEP;;;Liste_Morgentoilette;1.84;08:56;active;csv, old_cs;2;0;
1;Bearb. Essensplan (gegessen, zu essen, Start Korrekturlauf);LEEPEP;;;Liste_Morgentoilette;1.84;;active;csv, old_cs;2;0;
1;Bearb. Essensplan (Kontrolle / zu essen / Korrektur);LEEPKO;;;Liste_nachmittags;1.83;;active;csv, old_cs;2;0;
1;Bearb. Essensplan (Nährwerte);LEEPGE;;;Liste_untertags;1.81;;active;csv, old_cs;2;0;
1;Bearb. Essensplan (Protokoll);LEEPPR;;;Liste_nachmittags;1.827;;active;csv, old_cs;2;0;
1;Bearb. Essensplan (Update Händlerangebote);LEEPUH;;;Liste_nachmittags;1.83;;active;csv, old_cs;2;0;
1;Bearb. Essensplan (Update Rotation);LEEPRO;;;Liste_nachmittags;1.83;;active;csv, old_cs;2;0;
1;Bearb. Essensplan (Update Wärme / Gewicht);LEEPUW;;;Liste_nachmittags;1.83;;active;csv, old_cs;2;0;
1;Bearb. Essensplan (Vorschläge Strake);LEEPVO;;;Liste_Schwimmbad;1.846;07:30;active;csv, old_cs;2;0;
1;Bearb. Essensplan (Änderung Sollwerte);LEEPUH;;;Liste_Morgentoilette;1.84;;active;csv, old_cs;2;0;
1;Bearb. Essensplan / Einkaufsliste;;LE;;;0;;active;ablauf_unplanned, access_Tab_Aufwandserfassung;2;1;
1;Bearb. Essensplan im BRZ;BREPGM;;;Liste_Arbeit;1.84;;active;ablauf_planned, csv, old_cs, yaml_exceptions;4;2;seen 78x across Ablauf files
1;Bearb. Esssensplan;;LE;;;0;;active;ablauf_unplanned, access_Tab_Aufwandserfassung;2;0;unplanned, seen 1x across Ablauf files
1;Bearb. gegangene Strecken;FZSCLI;;;;0;;active;ablauf_planned, ablauf_unplanned;2;12;seen 1x across Ablauf files
1;Bearb. Geldbörse;FIBGGB;;;Liste_untertags;1.826;;active;ablauf_planned, csv, old_cs;3;8;seen 492x across Ablauf files
1;Bearb. Hörwerte / Radiobewertung;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. Koordinaten Link;;FZ;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. Koordinaten Link / Tier;;FZ;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. Koordinaten Tier;;FZ;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. Koordinaten Tier / LINK;;FZ;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. Koordinaten Tier / Update Scooterauswertung;;FZ;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. Liste auswendig singbarer Titel;MUOWAS;;;Liste_untertags;1.829;;active;ablauf_planned, ablauf_unplanned, csv, old_cs;4;1;seen 41x across Ablauf files
1;Bearb. Liste Scooterfahrten;FZSCLI;;;Liste_untertags;1.828;;active;ablauf_planned, ablauf_unplanned, csv, old_cs;4;15;seen 235x across Ablauf files
1;Bearb. Mindestplanung Aufarbeitung Zeitrückstände;;KS;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. Mindestplanung Zeitrückstand;;KS;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. Ohrwürmer;RWOWCH;;;;0;;active;ablauf_planned, ablauf_unplanned;2;172;
1;Bearb. Ohrwürmer (durchgenommene);RWOWDU;;;Liste_nachmittags;1.826;;active;csv, old_cs;2;0;
1;Bearb. Ohrwürmer (durchzunehmende);RWOWDN;;;Liste_Schwimmbad;1.841;07:43;active;csv, old_cs;2;0;
1;Bearb. Ohrwürmer (Liste auswendig singbarer Titel);MUOWAS;;;Liste_nachmittags;1.826;;active;csv, old_cs;2;0;
1;Bearb. Ohrwürmer (Nachfassen aus alten Charts);RWOWTT;;;Liste_nachmittags;1.822;;active;csv, old_cs;2;0;
1;Bearb. Ohrwürmer (Texte);MUOWTE;;;Liste_nachmittags;1.826;;active;csv, old_cs;2;0;
1;Bearb. OpenStreetMaps;;IN;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung, window_logger_vb5;3;0;
1;Bearb. Play Card System;;MU;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. Playlist;RWYTPL;RW;;;0;;active;ablauf_planned, ablauf_unplanned, access_Tab_Aktionen, access_Tab_Aufwandserfassung, window_logger_vb5;5;45;seen 1x across Ablauf files
1;Bearb. Playlist / Evaluation Hörwerte;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. Playlist / Radiobewertung;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. Playlist / RW-Datenbank;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. Playlist / Update Hörwerte;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. Playlist / Update Radiohörwerte;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. Playlist / Update Wertungsfaktoren;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. Playlist / Wertungsfaktoren;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. Playlist / Wertungsfaktoren / Update RW-Prg.;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. Playlists;RWMPAR;;;;0;;active;ablauf_planned, ablauf_unplanned;2;1;
1;Bearb. Probenplan;;MU;;;0;;active;ablauf_unplanned, access_Tab_Aktionen, access_Tab_Aufwandserfassung;3;3;unplanned, seen 4x across Ablauf files
1;Bearb. Radiowertungen;;RA;;;0;;active;ablauf_unplanned, access_Tab_Aufwandserfassung;2;1;
1;Bearb. RW-Datenbank;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. RW-DB;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. Scans / Mail Andrea;;VE;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. Scooterkoord.;;FZ;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. Scooterkoordinaten;;FZ;;;0;;active;ablauf_unplanned, access_Tab_Aktionen, access_Tab_Aufwandserfassung;3;0;unplanned, seen 1x across Ablauf files
1;Bearb. Senderwertungen;RASCSW;;;Liste_nachmittags;0;;active;ablauf_planned, old_cs;2;4;seen 48x across Ablauf files
1;Bearb. Taskliste / Planung;;KS;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. unbenannte Datei;;LE;;;0;;active;ablauf_unplanned, access_Tab_Aufwandserfassung;2;0;unplanned, seen 1x across Ablauf files
1;Bearb. Wertungsfaktoren / Korr. RW-PRg.;;RW;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. Zeitrückstand;;KS;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb. Ähnlichkeiten;;RA;;;0;;active;access_Tab_Aktionen, access_Tab_Aufwandserfassung;2;0;
1;Bearb.Ohrwürmer;RWOMCH;;;;0;;active;ablauf_planned, ablauf_unplanned;2;429;
1;Bearb.Ohrwürmer(durchgenommen);MUOWDU;;;Liste_Morgentoilette;1.84;;active;csv, old_cs;2;0;
1;Bearb.Ohrwürmer(Nachfassen aus alten Charts);RWOWTT;;;Liste_untertags;1.828;;active;csv, old_cs;2;0;
